"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시청",대구광역시 달성군 구지면 응암리 646,대구광역시 달성군 구지면 응암리 646,교통정보수집,1,200,자동차 진행 방면,,2016-11,053-803-4573,35.647368,128.415547,2019-06-21
"대구광역시청",대구광역시 달성군 구지면 화산리 704,대구광역시 달성군 구지면 화산리 704,교통정보수집,1,200,자동차 진행 방면,,2016-11,053-803-4573,35.664422,128.399093,2019-06-21
"대구광역시청",대구광역시 동구 국채보상로 827,대구광역시 동구 신천3동 850-6,교통단속,1,130,버스전용차로 차량 진행방면,,1999-11,053-803-4887,35.8684012,128.6202472,2019-06-21
"대구광역시청",대구광역시 동구 국채보상로 827,대구광역시 동구 신천3동 850-6,교통단속,1,130,버스전용차로 차량 진행방면,,1999-11,053-803-4887,35.8684012,128.6202472,2019-06-21
"대구광역시청",대구광역시 북구 관문동 618-49,대구광역시 북구 관문동 618-49,교통단속,1,130,버스전용차로 차량 진행방면,,2000-04,053-803-4887,35.902207,128.547110,2019-06-21
"대구광역시청",대구광역시 동구 아양로 245,대구광역시 동구 신암동 1575,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.8823794,128.6255254,2019-06-21
"대구광역시청",대구광역시 동구 아양로 245,대구광역시 동구 신암동 1575,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.8823794,128.6255254,2019-06-21
"대구광역시청",대구광역시 북구 관문동 618-49,대구광역시 북구 관문동 618-49,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.902207,128.547110,2019-06-21
"대구광역시청",대구광역시 동구 동촌로 127,대구광역시 동구 검사동 908-5,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.8861564,128.655665,2019-06-21
"대구광역시청",대구광역시 동구 동촌로 127,대구광역시 동구 검사동 908-5,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.8861564,128.655665,2019-06-21
"대구광역시청",대구광역시 수성구 동대구로 154,대구광역시 수성구 황금2동 613,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.8443207,128.6252903,2019-06-21
"대구광역시청",대구광역시 수성구 동대구로 154,대구광역시 수성구 황금2동 613,교통단속,1,130,버스전용차로 차량 진행방면,,2006-02,053-803-4887,35.8443207,128.6252903,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로329길 17,대구광역시 달서구 감삼동 55-5,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.854356,128.5452100,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로329길 17,대구광역시 달서구 감삼동 55-5,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.854356,128.5452100,2019-06-21
"대구광역시청",대구광역시 중구 성내2동 205-2,대구광역시 중구 성내2동 205-2,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.876421,128.587995,2019-06-21
"대구광역시청",대구광역시 중구 성내2동 205-2,대구광역시 중구 성내2동 205-2,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.876421,128.587995,2019-06-21
"대구광역시청",대구광역시 중구 국채보상로139길 1,대구광역시 중구 동인동2가 177-4,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.8692838,128.6060779,2019-06-21
"대구광역시청",대구광역시 중구 국채보상로139길 1,대구광역시 중구 동인동2가 177-4,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.8692838,128.6060779,2019-06-21
"대구광역시청",대구광역시 수성구 달구벌대로 2500,대구광역시 수성구 범어동 835,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.8584170947,128.6361221784,2019-06-21
"대구광역시청",대구광역시 수성구 달구벌대로 2500,대구광역시 수성구 범어동 835,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.8584170947,128.6361221784,2019-06-21
"대구광역시청",대구광역시 서구 국채보상로43길 15,대구광역시 서구 평리동 1495,교통단속,1,130,버스전용차로 차량 진행방면,,2013-11,053-803-4887,35.8731197,128.5530337,2019-06-21
"대구광역시청",대구광역시 서구 국채보상로43길 15,대구광역시 서구 평리동 1495,교통단속,1,130,버스전용차로 차량 진행방면,,2013-11,053-803-4887,35.8731197,128.5530337,2019-06-21
"대구광역시청",대구광역시 북구 칠곡중앙대로 180,대구광역시 북구 태전동 799-3,교통단속,1,150,버스전용차로 차량 진행방면,,2014-12,053-803-4887,35.912076,128.5489937,2019-06-21
"대구광역시청",대구광역시 북구 칠곡중앙대로 180,대구광역시 북구 태전동 799-3,교통단속,1,150,버스전용차로 차량 진행방면,,2014-12,053-803-4887,35.912076,128.5489937,2019-06-21
"대구광역시청",대구광역시 수성구 달구벌대로 2487,대구광역시 수성구 범어2동 170-1,교통단속,1,150,버스전용차로 차량 진행방면,,2016-12,053-803-4887,35.859278,128.634672,2019-06-21
"대구광역시청",대구광역시 수성구 달구벌대로 2530,대구광역시 수성구 범어동 211-21,교통단속,1,150,버스전용차로 차량 진행방면,,2016-12,053-803-4887,35.858580,128.639533,2019-06-21
"대구광역시청",대구광역시 중구 동덕로 127,대구광역시 중구 삼덕동2가 105-1,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.866035,128.603131,2019-06-21
"대구광역시청",대구광역시 중구 달구벌대로 2074-1,대구광역시 중구 남산동 483,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.865742,128.5904246,2019-06-21
"대구광역시청",대구광역시 중구 달구벌대로 2074-1,대구광역시 중구 남산동 483,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.865742,128.5904246,2019-06-21
"대구광역시청",대구광역시 중구 달구벌대로 2126,대구광역시 중구 봉산동 127-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8646797,128.5960285,2019-06-21
"대구광역시청",대구광역시 중구 달구벌대로 2126,대구광역시 중구 봉산동 127-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8646797,128.5960285,2019-06-21
"대구광역시청",대구광역시 동구 동북로 306,대구광역시 동구 신암동 648-2,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8916413,128.6230846,2019-06-21
"대구광역시청",대구광역시 동구 안심로 389-2,대구광역시 동구 신서동 520-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8708661,128.727449,2019-06-21
"대구광역시청",대구광역시 동구 안심로 389-2,대구광역시 동구 신서동 520-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8708661,128.727449,2019-06-21
"대구광역시청",대구광역시 동구 동부로 148,대구광역시 동구 신천동 328-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8767285,128.628387,2019-06-21
"대구광역시청",대구광역시 동구 동부로 148,대구광역시 동구 신천동 328-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8767285,128.628387,2019-06-21
"대구광역시청",대구광역시 동구 화랑로 51,대구광역시 동구 신천동 477-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8708885,128.6329338,2019-06-21
"대구광역시청",대구광역시 동구 화랑로 51,대구광역시 동구 신천동 477-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8708885,128.6329338,2019-06-21
"대구광역시청",대구광역시 동구 효목로 30,대구광역시 동구 효목동 553-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8759565,128.6397538,2019-06-21
"대구광역시청",대구광역시 동구 효목로 30,대구광역시 동구 효목동 553-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8759565,128.6397538,2019-06-21
"대구광역시청",대구광역시 동구 효목로 16,대구광역시 동구 효목동 543,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8747804,128.6397311,2019-06-21
"대구광역시청",대구광역시 동구 효목로 16,대구광역시 동구 효목동 543,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8747804,128.6397311,2019-06-21
"대구광역시청",대구광역시 동구 화랑로 419,대구광역시 동구 방촌동 1118-123,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.876664,128.6698568,2019-06-21
"대구광역시청",대구광역시 동구 반야월로 138,대구광역시 동구 신기동 178-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8727395,128.7034638,2019-06-21
"대구광역시청",대구광역시 동구 반야월로 138,대구광역시 동구 신기동 178-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8727395,128.7034638,2019-06-21
"대구광역시청",대구광역시 서구 국채보상로 252,대구광역시 서구 평리동 1334-6,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8708966,128.5585961,2019-06-21
"대구광역시청",대구광역시 서구 국채보상로 185,대구광역시 서구 평리동 1527-16,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8700549,128.5513315,2019-06-21
"대구광역시청",대구광역시 서구 국채보상로 185,대구광역시 서구 평리동 1527-16,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8700549,128.5513315,2019-06-21
"대구광역시청",대구광역시 서구 국채보상로 426,대구광역시 서구 비산4동 169-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8705487,128.5772672,2019-06-21
"대구광역시청",대구광역시 서구 국채보상로 426,대구광역시 서구 비산4동 169-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8705487,128.5772672,2019-06-21
"대구광역시청",대구광역시 서구 당산로 228,대구광역시 서구 내당4동 456-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.857089,128.5483841,2019-06-21
"대구광역시청",대구광역시 서구 당산로 228,대구광역시 서구 내당4동 456-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.857089,128.5483841,2019-06-21
"대구광역시청",대구광역시 서구 서대구로 40,대구광역시 서구 내당동 244-7,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8615174,128.5568672,2019-06-21
"대구광역시청",대구광역시 서구 서대구로 40,대구광역시 서구 내당동 244-7,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8615174,128.5568672,2019-06-21
"대구광역시청",대구광역시 수성구 화랑로 46,대구광역시 수성구 만촌동 1356-22 성원넥서스,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8699550,128.6332154,2019-06-21
"대구광역시청",대구광역시 수성구 화랑로 46,대구광역시 수성구 만촌동 1356-22 성원넥서스,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8699550,128.6332154,2019-06-21
"대구광역시청",대구광역시 수성구 들안로60길 17,대구광역시 수성구 수성동3가 130-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.857992,128.6196894,2019-06-21
"대구광역시청",대구광역시 수성구 들안로60길 17,대구광역시 수성구 수성동3가 130-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.857992,128.6196894,2019-06-21
"대구광역시청",대구광역시 달서구 용산로 235,대구광역시 달서구 용산동 930-3,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.858501,128.530289,2019-06-21
"대구광역시청",대구광역시 달서구 용산로 222,대구광역시 달서구 용산동 934,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.857427,128.530831,2019-06-21
"대구광역시청",대구광역시 달서구 용산로 222,대구광역시 달서구 용산동 934,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.857427,128.530831,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1095,대구광역시 달서구 신당동 1000-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8550148,128.4850295,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1095,대구광역시 달서구 신당동 1000-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.8550148,128.4850295,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1664,대구광역시 달서구 감삼동 106-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.853898,128.548039,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1664,대구광역시 달서구 감삼동 106-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.853898,128.548039,2019-06-21
"대구광역시청",대구광역시 중구 국채보상로 537,대구광역시 중구 상서동 22-2,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8706599,128.5894435,2019-06-21
"대구광역시청",대구광역시 중구 국채보상로 537,대구광역시 중구 상서동 22-2,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8706599,128.5894435,2019-06-21
"대구광역시청",대구광역시 중구 국채보상로 597,대구광역시 중구 동성로2가 41-1,교통단속,1,200,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8709805,128.5960813,2019-06-21
"대구광역시청",대구광역시 중구 국채보상로 597,대구광역시 중구 동성로2가 41-1,교통단속,1,200,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8709805,128.5960813,2019-06-21
"대구광역시청",대구광역시 중구 큰장로 110,대구광역시 중구 대신동 1012,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8682586,128.5779992,2019-06-21
"대구광역시청",대구광역시 중구 큰장로 110,대구광역시 중구 대신동 1012,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8682586,128.5779992,2019-06-21
"대구광역시청",대구광역시 중구 중앙대로 407-3,대구광역시 중구 남일동 124-5,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8695688,128.593574,2019-06-21
"대구광역시청",대구광역시 중구 중앙대로 407-3,대구광역시 중구 남일동 124-5,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8695688,128.593574,2019-06-21
"대구광역시청",대구광역시 중구 중앙대로 393,대구광역시 중구 동성로3가 7-7,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8683156,128.5934768,2019-06-21
"대구광역시청",대구광역시 중구 중앙대로 393,대구광역시 중구 동성로3가 7-7,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8683156,128.5934768,2019-06-21
"대구광역시청",대구광역시 중구 큰장로 123,대구광역시 서구 내당동 1038-3,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.868838,128.580495,2019-06-21
"대구광역시청",대구광역시 중구 큰장로 123,대구광역시 서구 내당동 1038-3,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.868838,128.580495,2019-06-21
"대구광역시청",대구광역시 서구 달구벌대로 1813,대구광역시 서구 내당동 65-5,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.860031,128.562937,2019-06-21
"대구광역시청",대구광역시 서구 달구벌대로 1813,대구광역시 서구 내당동 65-5,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.860031,128.562937,2019-06-21
"대구광역시청",대구광역시 남구 현충로 255,대구광역시 남구 대명동 2131-29,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8553635,128.5828269,2019-06-21
"대구광역시청",대구광역시 남구 현충로 255,대구광역시 남구 대명동 2131-29,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8553635,128.5828269,2019-06-21
"대구광역시청",대구광역시 남구 대명로 157,대구광역시 남구 대명동 809-3,교통단속,1,200,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8394605,128.574993,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동 230-11,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8494607,128.5274266,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동 230-11,교통단속,1,130,불법 주정차 예상위치 방면,,2010-12,053-803-4887,35.8494607,128.5274266,2019-06-21
"대구광역시청",대구광역시 달서구 장산로,대구광역시 달서구 용산동 926,교통단속,1,130,불법 주정차 예상위치 방면,,2011-01,053-803-4887,35.856439,128.525021,2019-06-21
"대구광역시청",대구광역시 달서구 장산로,대구광역시 달서구 용산동 926,교통단속,1,130,불법 주정차 예상위치 방면,,2011-01,053-803-4887,35.856439,128.525021,2019-06-21
"대구광역시청",대구광역시 달서구 장산로,대구광역시 달서구 용산동 376-2,교통단속,1,130,불법 주정차 예상위치 방면,,2011-01,053-803-4887,35.856439,128.525021,2019-06-21
"대구광역시청",대구광역시 달서구 장산로,대구광역시 달서구 용산동 376-2,교통단속,1,130,불법 주정차 예상위치 방면,,2011-01,053-803-4887,35.856439,128.525021,2019-06-21
"대구광역시청",대구광역시 중구 태평로 295,대구광역시 중구 동인동3가 367-28,교통단속,1,130,불법 주정차 예상위치 방면,,2011-01,053-803-4887,35.8733406,128.6094753,2019-06-21
"대구광역시청",대구광역시 중구 태평로 295,대구광역시 중구 동인동3가 367-28,교통단속,1,130,불법 주정차 예상위치 방면,,2011-01,053-803-4887,35.8733406,128.6094753,2019-06-21
"대구광역시청",대구광역시 동구 아양로 65-1,대구광역시 동구 신암동 588-4,교통단속,1,130,불법 주정차 예상위치 방면,,2011-11,053-803-4887,35.8828163,128.6212179,2019-06-21
"대구광역시청",대구광역시 동구 아양로 65-1,대구광역시 동구 신암동 588-4,교통단속,1,130,불법 주정차 예상위치 방면,,2011-11,053-803-4887,35.8828163,128.6212179,2019-06-21
"대구광역시청",대구광역시 수성구 동대구로 359,대구광역시 수성구 범어동 32-1,교통단속,1,130,불법 주정차 예상위치 방면,,2011-11,053-803-4887,35.862652,128.6263363,2019-06-21
"대구광역시청",대구광역시 수성구 동대구로 359,대구광역시 수성구 범어동 32-1,교통단속,1,130,불법 주정차 예상위치 방면,,2011-11,053-803-4887,35.862652,128.6263363,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1790,대구광역시 달서구 두류동 135-13 현대해상 빌딩,교통단속,1,130,불법 주정차 예상위치 방면,,2011-11,053-803-4887,35.858558,128.560774,2019-06-21
"대구광역시청",대구광역시 달서구 달구벌대로 1790,대구광역시 달서구 두류동 135-13 현대해상 빌딩,교통단속,1,130,불법 주정차 예상위치 방면,,2011-11,053-803-4887,35.858558,128.560774,2019-06-21
"대구광역시청",대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,교통단속,1,130,불법 주정차 예상위치 방면,,2016-02,053-803-4887,35.8974446,128.637785,2019-06-21
"대구광역시청",대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,교통단속,1,130,불법 주정차 예상위치 방면,,2016-02,053-803-4887,35.8974446,128.637785,2019-06-21
"대구광역시청",대구광역시 북구 동북로 163,대구광역시 북구 산격동 500-1,교통단속,1,200,불법 주정차 예상위치 방면,,2013-01,053-803-4887,35.8989126706,128.6125185583,2019-06-21
"대구광역시청",대구광역시 북구 동북로 163,대구광역시 북구 산격동 500-1,교통단속,1,200,불법 주정차 예상위치 방면,,2013-01,053-803-4887,35.8989126706,128.6125185583,2019-06-21
